Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [STRING] [0x8]
0,"土豆土豆我是大米","大米你好","大米是啥……"
1,"要收取魔导感光器吗？","是","否"
2,"要离开“<value>”吗？","是","否"
3,"要离开“<value>”吗？","是","否"
4,"要破坏“邪教念珠”吗？","是","否"
5,"要使用魔导感光器吗？","是","否"
6,"确定要离开“<value>”吗？","是","否"
7,"确定要全队一同离开“<value>”吗？<br>※请提前确认好所领取的报酬。<br>※再次挑战时间请参照“任务计时”。","是","否"
8,"确定要退出任务吗？","是","否"
9,"要使用小钥匙开门吗？","是","否"
10,"要开启起重机吗？","是","否"
11,"要进行爆破吗？","是","否"
12,"发现了类似开关的装置，要按下吗？","是","否"
13,"要捡起钥匙吗？","是","否"
14,"専用鍵Aを取得しますか？","是","否"
15,"専用鍵Bを取得しますか？","是","否"
16,"専用鍵Cを取得しますか？","是","否"
17,"専用鍵Dを取得しますか？","是","否"
18,"要使用小钥匙开门吗？","是","否"
19,"要使用寄生树钥匙开门吗？","是","否"
20,"要使用黄石竹钥匙开门吗？","是","否"
21,"要使用白百合钥匙开门吗？","是","否"
22,"要使用红蔷薇钥匙开门吗？","是","否"
23,"要熄灭烛火吗？","是","否"
24,"要破坏奇异珠吗？","是","否"
25,"要熄灭怪异的灯吗？","是","否"
26,"要拉动把手打开门吗？","是","否"
27,"(仮)怪樹の根に触れますか？","是","否"
28,"(仮)怪樹の実に触れますか？","是","否"
29,"要使用“邪教念珠”吗？","是","否"
30,"要启动魔导传送装置吗？","是","否"
31,"要使用“血书纸片”吗？","是","否"
32,"要推动升降机的操作杆吗？","是","否"
33,"要推动升降机的操作杆吗？","是","否"
34,"要启动爆破装置吗？","是","否"
35,"要将12星司火药放入引爆点吗？","是","否"
36,"要进入到迷宫内部吗？","是","否"
37,"要打开避难地正门吗？","是","否"
38,"要使用<ref:EventItem>吗？","是","否"
39,"发现了类似开关的装置，要按下吗？","是","否"
40,"要投身到魔力的奔流中吗？","是","否"
41,"要投身到魔力的奔流中吗？","是","否"
42,"要发动陷阱吗？","是","否"
43,"要扳动操作杆打开大门吗？","是","否"
44,"要打开船长室的门锁吗？","是","否"
45,"要打开海人门的门锁吗？","是","否"
46,"要打开处罚室的门锁吗？","是","否"
47,"要触动“审理之天平”吗？","是","否"
48,"要跳入流沙之中吗？","是","否"
49,"要使用“帝国军认证密钥”打开电子锁吗？","是","否"
50,"要跳入垃圾卸槽中吗？","是","否"
51,"要前往下一个区域吗？","是","否"
52,"要使用“帝国军认证密钥”吗？","是","否"
53,"要使用“37式炸药”吗？","是","否"
54,"要启动斜行升降机吗？※会带领周围的队员一起进行移动。","是","否"
55,"要打开后营门入口吗？※会带领周围的队员一起进行移动。","是","否"
56,"要召唤电梯吗？","是","否"
57,"要启动电梯吗？","是","否"
58,"要乘上魔导装甲吗？","是","否"
59,"要使用灯油吗？","是","否"
60,"要传送吗？","是","否"
61,"要前往下一个区域吗？","是","否"
62,"要进入到水源地的近路吗？","是","否"
63,"要打开临时关门吗？","是","否"
64,"要投身到奇异珠的光芒中吗？","是","否"
65,"要投身到奇异珠的光芒中吗？","是","否"
66,"要使用白百合钥匙开门吗？","是","否"
67,"要使用红蔷薇钥匙开门吗？","是","否"
68,"要使用小钥匙开门吗？","是","否"
69,"要移动到第二修炼区吗？","是","否"
70,"要移动到第三修炼区吗？","是","否"
71,"要将神秘的石板放到台子上吗？","是","否"
72,"要打开主仓库的门锁吗？","是","否"
73,"","",""
