Index,0 [STRING] [0x0],1 [BYTE] [0x10],2 [STRING] [0x4],3 [BYTE] [0x11],4 [BYTE] [0x12],5 [BYTE] [0x13],6 [BYTE] [0x14],7 [BYTE] [0x15],8 [STRING] [0x8],9 [STRING] [0xC],10 [USHORT] [0x24],11 [USHORT] [0x26],12 [UBYTE] [0x28],13 [UINT] [0x18],14 [UBYTE] [0x29],15 [INT] [0x1C],16 [INT] [0x20]
2000000,"",0,"",0,0,1,0,0,"","",0,0,1,0,0,83,85
2000001,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000002,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000003,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000004,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000005,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000006,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000007,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000008,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000009,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000010,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000011,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000012,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000013,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000014,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000015,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000016,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000017,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000018,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000019,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000020,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000021,"奥妮莉的发饰",0,"オニィーの髪飾り",0,0,1,0,0,"橡子乐园的少女奥妮莉非常喜欢的发饰。","",22623,1,1,0,3,83,85
2000022,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000023,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000024,"崭新的工具箱",0,"真新しい工具箱",0,0,1,0,0,"新人刻木匠忘记带走的工具箱。","",21002,1,1,65563,3,83,85
2000025,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000026,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000027,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000028,"阿泽玛玫瑰",0,"アーゼマローズ",0,0,1,0,0,"园艺工所给的阿泽玛玫瑰花。","",25919,1,1,65562,3,83,85
2000029,"小型金具",0,"小さな金具",0,0,1,0,0,"塔塔索萨所给的小型金具。","",21007,1,1,65568,3,83,85
2000030,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000031,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000032,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000033,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000034,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000035,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000036,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000037,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000038,"烈火糖果",0,"ファイアキャンディ",0,0,1,0,0,"一种特别制作的糖果，一闪一闪的好像火属性水晶。","",22624,1,1,66704,3,83,85
2000039,"疾风糖果",0,"ウィンドキャンディ",0,0,1,0,0,"一种特别制作的糖果，一闪一闪的好像风属性水晶。","",22625,1,1,66704,3,83,85
2000040,"厚土糖果",0,"アースキャンディ",0,0,1,0,0,"一种特别制作的糖果，一闪一闪的好像土属性水晶。","",22626,1,1,66704,3,83,85
2000041,"爆弹怪的拇指",0,"ボムの親指",0,0,1,0,0,"气体生物爆弹怪的拇指。","",30201,1,5,66705,3,83,85
